Nome;Descrizione;Prezzo
Negroni;Parti uguali di gin, Campari e vermouth rosso. Guarnito con scorza d'arancia.;10.00
Old Fashioned;Bourbon o rye whiskey pestato con zucchero e bitter. Guarnito con scorza d'arancia e ciliegina.;12.00
Martini;Gin e vermouth dry. Guarnito con oliva o scorza di limone.;11.00
Daiquiri;Rum bianco, succo di lime fresco e sciroppo semplice. Shakerato e filtrato.;9.50
Manhattan;Rye whiskey, vermouth rosso e bitter Angostura. Guarnito con ciliegina.;12.50
Mojito;Rum bianco, succo di lime fresco, zucchero, foglie di menta e acqua frizzante.;10.50
Margarita;Tequila, triple sec e succo di lime fresco. Servito con bordo di sale.;11.00
Whiskey Sour;Bourbon, succo di limone fresco e sciroppo semplice. Opzionale albume d'uovo.;10.00
Moscow Mule;Vodka, ginger beer piccante e succo di lime. Servito in un bicchiere di rame.;11.50
Bloody Mary;Vodka, succo di pomodoro, succo di limone e spezie. Guarnito con sedano e limone.;10.50
Aperol Spritz;Aperol, Prosecco e acqua frizzante. Guarnito con fetta d'arancia.;9.00
Bellini;Purea di pesca bianca e Prosecco. Servito in una flute.;9.50
Cosmopolitan;Vodka al limone, triple sec, succo di mirtillo e lime. Guarnito con scorza di lime.;11.00
Espresso Martini;Vodka, liquore al caffè e caffè espresso. Guarnito con chicchi di caffè.;12.00
Gin Fizz;Gin, succo di limone, sciroppo semplice e soda. Servito in un bicchiere alto.;10.00
Caipirinha;Cachaça, lime e zucchero di canna. Servito con ghiaccio tritato.;10.50
Sidecar;Cognac, triple sec e succo di limone. Servito in una coppetta con bordo zuccherato.;12.50
Pina Colada;Rum bianco, succo di ananas e latte di cocco. Servito in un bicchiere alto.;11.00
White Russian;Vodka, liquore al caffè e panna. Servito in un bicchiere basso.;11.50
Sazerac;Rye whiskey o cognac, zucchero, Peychaud's bitter e assenzio. Servito in un bicchiere raffreddato.;13.00
